map_id,manuscript_location,displayed_value,result_family,generated_output_file,frozen_reference_file,machine_readable_row_key,exact_stored_value,exact_ci_lower_or_bound,exact_ci_upper_or_bound,n,events,reliability_action,frozen_authority_source,trace_status,notes
M001,Abstract Results line 27; Methods line 76; Results line 109,"n=1,985",MISSINGNESS_RESULTS,outputs/current/MISSINGNESS_RESULTS.csv,validation/reference/W09_ACCEPTED/MISSINGNESS_RESULTS.csv,metric_id=FROZEN_ELIGIBLE_N; scope=ALL,,,,1985,,IDENTITY,W12 frozen authority -> accepted W09 MISSINGNESS_RESULTS.csv,PASS,Frozen pre-UACR eligible denominator.
M002,Abstract Results line 27; Results line 109; Discussion line 141,"n=1,851; 93.6% (95% CI 91.5%-95.3%)",MISSINGNESS_RESULTS,outputs/current/MISSINGNESS_RESULTS.csv,validation/reference/W09_ACCEPTED/MISSINGNESS_RESULTS.csv,metric_id=JOINT_ANALYZABLE; scope=ALL,0.936302848203583,0.915445642643781,0.953329187052971,1985,1851,REPORT,W12 frozen authority -> accepted W09 MISSINGNESS_RESULTS.csv,PASS,Unweighted jointly analyzable count is unweighted_count/events=1851; estimate is weighted availability.
M003,Results line 109,39; 1.9% (95% CI 1.2%-2.8%),MISSINGNESS_RESULTS,outputs/current/MISSINGNESS_RESULTS.csv,validation/reference/W09_ACCEPTED/MISSINGNESS_RESULTS.csv,metric_id=UACR_MISSING; scope=ALL,0.0191769175896602,0.0124382857773476,0.0281963830412517,1985,39,REPORT,W12 frozen authority -> accepted W09 MISSINGNESS_RESULTS.csv,PASS,
M004,Results line 109,98; 4.6% (95% CI 3.0%-6.6%),MISSINGNESS_RESULTS,outputs/current/MISSINGNESS_RESULTS.csv,validation/reference/W09_ACCEPTED/MISSINGNESS_RESULTS.csv,metric_id=EGFR_INVALID_OR_MISSING; scope=ALL,0.0459304341552905,0.0304698084852049,0.0661483653951083,1985,98,REPORT,W12 frozen authority -> accepted W09 MISSINGNESS_RESULTS.csv,PASS,
P001,Abstract Results line 27; Results line 111; Table 1 line 214,80.83 (78.56-82.97); 1427/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T01,0.808337580696372,0.785572379621741,0.829663032399486,1851,1427,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G1/G2 + A1.
P002,Abstract Results line 27; What Study Adds lines 42-43; Results line 111; Discussion lines 135-143; Conclusions line 159; Table 1 line 215,10.32 (8.80-12.00); 211/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T02,0.103172973415295,0.0879820038682535,0.119993423020615,1851,211,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G1/G2 + A2/A3.
P003,Table 1 row T03 (manuscript lines 216-216),6.26 (4.91-7.84); 151/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T03,0.06255933057661,0.0490608352162223,0.0784212335267558,1851,151,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G3a + A1/A2.
P004,Table 1 row T04 (manuscript lines 217-217),0.36 (0.10-0.92); 7/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T04,0.00359688748863252,0.000970283095996609,0.00923390843359517,1851,7,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G3a + A3.
P005,Table 1 row T05 (manuscript lines 218-218),0.92 (0.44-1.71); 22/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T05,0.00924246999297454,0.00437073403478097,0.0171119935090095,1851,22,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G3b + A1.
P006,Table 1 row T06 (manuscript lines 219-219),0.77 (0.40-1.33); 19/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T06,0.00766475337839357,0.00396811657512238,0.0133468499260166,1851,19,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G3b + A2/A3.
P007,Table 1 row T07 (manuscript lines 220-220),0.54 (0.20-1.16); 14/1851,PRIMARY_RESULTS,outputs/current/PRIMARY_RESULTS.csv,validation/reference/W09_ACCEPTED/PRIMARY_RESULTS.csv,cell_id=T07,0.00542600445172214,0.00204391753743655,0.0116018910542302,1851,14,REPORT,W12 frozen authority -> accepted W09 PRIMARY_RESULTS.csv,PASS,Primary prespecified component: G4/G5 + any A.
S001,Abstract Results line 27; Results line 116; Discussion line 143,"n=1,946 with UACR observed; 13.5% (95% CI 11.6%-15.5%)",SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=UACR_GE30; estimand_id=S1,0.134553283889899,0.116018305670885,0.154844029611239,1946,297,REPORT,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,"The n=1,946 UACR-observed denominator is stored as n for this result family; equals 1,985-39."
S002,Results line 116,86.5% (95% CI 84.5%-88.4%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=A1; estimand_id=S2A,0.8654467161101,0.84515597038876,0.883981694329113,1946,1649,REPORT,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,
S003,Results line 116,11.4% (95% CI 9.6%-13.4%),SECONDARY_RESULTS,outputs/current/SECONDARY_RESULTS.csv,validation/reference/W09_ACCEPTED/SECONDARY_RESULTS.csv,cell_id=A2; estimand_id=S2A,0.11354615668673,0.095506654782658,0.133654376878224,1946,256,REPORT,W12 frozen authority -> accepted W09 SECONDARY_RESULTS.csv,PASS,
